olive_plan_id,olive_plan_name,platform,olive_placement_id,olive_placement_type,date,opid,In_View_Impressions,Valid_and_Viewable_Impressions,In_View_Measurable_Impressions_viewability,Audible_And_Visible_On_Complete,In_View_Measurable_Impressions_AVOC,Valid_and_AVOC_Impressions
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990661,In-stream video (skippable),2022-02-01,2990661,30583,30583,30583,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989227,In-stream video (skippable),2022-02-01,2989227,147579,,484817,4744,484817,4744
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990660,In-stream video (skippable),2022-02-01,2990660,7422,7422,7422,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990688,In-stream video (skippable),2022-02-01,2990688,153,,203,,203,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989224,In-stream video (skippable),2022-02-01,2989224,2953,,12672,260,12672,260
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990666,In-stream video (skippable),2022-02-01,2990666,11025,11025,11025,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990649,In-stream video (skippable),2022-02-01,2990649,2255,,29194,,29194,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990677,In-stream video (skippable),2022-02-01,2990677,113,,177,,177,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990645,In-stream video (skippable),2022-02-01,2990645,181,,3481,,3481,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989303,In-stream video (skippable),2022-02-01,2989303,23013,,56213,5484,56213,5484
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989231,In-stream video (skippable),2022-02-01,2989231,275811,,777250,14636,777250,14636
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990690,In-stream video (skippable),2022-02-01,2990690,577,,722,,722,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990648,In-stream video (skippable),2022-02-02,2990648,130,,2730,,2730,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990653,In-stream video (skippable),2022-02-02,2990653,585,,9903,,9903,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989225,In-stream video (skippable),2022-02-02,2989225,203065,,592525,9964,592525,9964
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990664,In-stream video (skippable),2022-02-02,2990664,56171,56171,56171,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990662,In-stream video (skippable),2022-02-02,2990662,9740,9740,9740,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990670,In-stream video (skippable),2022-02-02,2990670,52844,52844,52844,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990651,In-stream video (skippable),2022-02-02,2990651,2127,,38053,,38053,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990650,In-stream video (skippable),2022-02-02,2990650,97,,1358,,1358,
